"site_id","sgn_id","sample_id","year","month","day","AMPHINEMURA SP.","AMPULLACEANA BALTHICA","ANABOLIA FURCATA","ANCYLUS FLUVIATILIS","ANODONTA SP.","ASELLUS AQUATICUS","BAETIS SP.","BRACHYCENTRUS SUBNUBILUS","BRYOZOA GEN. SP.","CAENIS SP.","CERATOPOGONIDAE GEN. SP.","CHELIFERA SP.","CHIRONOMIDAE GEN. SP.","CLOEON DIPTERUM","COENAGRIONIDAE GEN. SP.","COLEOPTERA GEN. SP.","CORBICULA SP.","COROPHIUM SP.","DICRANOTA SP.","DOLICHOPODIDAE GEN. SP.","ELMIS AENEA","ELMIS MAUGETII","EPHEMERA DANICA","EPHEMERELLA SP.","EPHYDRIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","ESOLUS SP.","GAMMARIDAE GEN. SP.","GERRIS SP.","GLOSSIPHONIIDAE GEN. SP.","GORDIIDAE GEN. SP.","GYRAULUS SP.","HALIPLUS SP.","HEMERODROMIA SP.","HEPTAGENIIDAE GEN. SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA SP.","HYDROPHILIDAE GEN. SP.","HYDROPORUS PALUSTRIS","HYDROPSYCHE SP.","HYDROPTILA SP.","HYDROZOA GEN. SP.","HYPANIA INVALIDA","JAERA ISTRI","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIBELLULIDAE GEN. SP.","LIMNEPHILUS RHOMBICUS SSP.","MICRONECTA SP.","NEMATODA GEN. SP.","OLIGOCHAETA GEN. SP.","OULIMNIUS TUBERCULATUS","PEREGRIANA LABIATA","PHYSELLA SP.","PISCICOLIDAE GEN. SP.","PLATYCNEMIS PENNIPES","POTAMANTHUS LUTEUS","POTAMOPYRGUS ANTIPODARUM","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","RADIX AURICULARIA","RHYACOPHILA S. STR. SP.","SERRATELLA IGNITA","SIMULIUM SP.","SPHAERIIDAE GEN. SP.","STRATIOMYS SP.","TAENIOPTERYGIDAE GEN. SP.","THEODOXUS SP.","TIPULA SP.","TURBELLARIA GEN. SP."
116000004,"AUT_001_MZB_LO_2","116000004_21.04.2008",2008,"4",21,0,0,0,0,0,0,2.4,0,0,8,0,0,530.4,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,236.8,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,2.4,254.4,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
116000004,"AUT_001_MZB_LO_2","116000004_10.03.2011",2011,"3",10,9.6,0,0,19.2,0,0,24,0,0,0,0,0,1872,0,0,0,9.6,235.2,0,0,0,0,0,0,0,9.6,0,844.8,0,0,0,0,0,0,14.4,0,0,0,0,19.2,0,0,29.6,1113.6,0,4.8,0,0,0,0,2688,0,0,0,0,0,14.4,19.2,0,0,0,0,0,9.6,0,0,0,4.8,0,14.4
116000004,"AUT_001_MZB_LO_2","116000004_27.03.2013",2013,"3",27,0,0,0,0,0,0,4.8,0,0,4.8,4.8,4.8,2012,0,0,0,8,120,0,0,0,0,0,0,0,12.8,4.8,1557.6,0,0,0,0,0,0,0,24,0,0,0,11.2,0,0,24,532.8,0,0,0,0,0,0,1729.6,0,0,0,0,0,4.8,4.8,0,0,0,0,0,19.2,4.8,0,0,10.4,0,0
116000004,"AUT_001_MZB_LO_2","116000004_12.02.2014",2014,"2",12,0,0,0,0,0,0,0,28.8,0,4.8,4.8,0,244.8,0,0,0,108,177.6,0,0,0,0,0,0,0,15.2,0,1569.6,0,0,0,0,0,4.8,72,0,0,0,0,16,0,0,120,3993.6,0,0,0,0,4.8,0,2582.4,0,0,0,0,0,4.8,33.6,0,4.8,0,0,0,4.8,4.8,0,0,51.2,0,0
116000004,"AUT_001_MZB_LO_2","116000004_17.02.2015",2015,"2",17,0,0,0,0,0,0,24,0,0,0,0,0,116,0,0,0,16,32,0,0,0,0,0,0,0,4,0,504,0,0,0,0,0,0,12,0,0,0,0,8,0,0,64.8,172,0,0,0,0,0,0,1695.2,0,0,0,0,0,0,28,0,0,0,0,0,68,0,0,4,48,0,0
116000004,"AUT_001_MZB_LO_2","116000004_11.03.2016",2016,"3",11,0,0,0,0,0,0,0,0,1.6,0,1.6,0,135.2,0,0,0,2.4,162.4,0,0,0,0,0,0,0,0,1.6,225.6,0,0,0,0,0,0,1.6,1.6,0,0,0,1.6,0,0,1.6,189.6,0,0,0,0,2.4,0,132.8,0,0,0,0,0,0,8.8,0,0,0,0,0,3.2,1.6,0,0,0,0,0
116000004,"AUT_001_MZB_LO_2","116000004_11.02.2017",2017,"2",11,0,0,0,0,0,0,0.8,0,0,0,0,4.8,768,0,0,0,9.6,168.8,0.8,0,0,4.8,4.8,0,0,0.8,0,249.6,0,0,4.8,0,0,0,5.6,0,0,0,0,10.4,0,0,28.8,196.8,4.8,0,0,0,0,0,1790.4,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,14.4,0,0
116000004,"AUT_001_MZB_LO_2","116000004_22.02.2018",2018,"2",22,0,0,0,0,0,0,2.4,0,0,0,0,0,180,0,0,0,2.4,1.6,0,0,0,0,0,0,0,1.6,2.4,732,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,98.4,0,2.4,0,0,0,0,1000.8,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,2.4,20,0,0
116000007,"AUT_001_MZB_LO_7","116000007_30.07.2008",2008,"7",30,0,0,0,0,0,36.8,0,0,0,0,0,0,46.4,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,3.2,5.6,0,0,0,0,0,1.6,0.8,0.8,0,3.2,3.2,0,0,0,0,0,0,0,0,3.2,1168,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116000007,"AUT_001_MZB_LO_7","116000007_12.05.2009",2009,"5",12,0,0,0,0,0,178.4,0,0,0,0,164.8,0,1488.8,0,0,3.2,0,0,0,0,0,0,0,3.2,0,10.4,0,0,0,0,0,0,0,0,0,3.2,0,0,0,16.8,0,0,0,0,0,0,0,0,0,31.2,1333.6,0,0,0,7.2,3.2,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0
116000007,"AUT_001_MZB_LO_7","116000007_30.06.2010",2010,"6",30,0,1.6,0,0,0,56.8,85.6,0,0,0,1.6,0,95.2,0,0,0,0,0,9.6,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,1.6,0,0,0,50.4,1.6,1.6,0,0,1.6,0,0,0,0,4,783.2,0,0,0,4.8,0,0,0,0,0,0,0,0,68.8,0,0,0,0,0,0
116000007,"AUT_001_MZB_LO_7","116000007_19.07.2011",2011,"7",19,0,0,0,0,0.8,0,3.2,0,0,0,0,0,1138.4,0,0,0,0,0,24,0,0,0,0,0,0,3.2,0,0,0,0,0,3.2,0,3.2,0,3.2,0,0,0,195.2,8.8,0,0,0,0,0,0,0,32.8,3.2,1326.4,0,0,6.4,0.8,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0
116000007,"AUT_001_MZB_LO_7","116000007_30.06.2015",2015,"6",30,0,0,10.4,0,0,220.8,24,4.8,0,0,0,0,2092.8,0,0,0,0,0,0,0,0,0,0,0,4.8,10.4,0,0,0,4.8,0,0,4.8,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,9.6,0,11933.6,0,0,72.8,0,0,0,1377.6,4.8,0,0.8,0,0,24,859.2,0,0,0,0,0
116000007,"AUT_001_MZB_LO_7","116000007_27.06.2017",2017,"6",27,0,0,0,0,0,5208,4.8,0,0,0,9.6,0,993.6,326.4,9.6,0,0,0,0,4.8,0,0,0,0,0,577.6,0,0,0,100.8,0,0,379.2,0,0,0,0,0,4.8,0,38.4,168,0,0,0,0,14.4,0,0,0,1928,0,0.8,0,4.8,0,0,13065.6,4.8,0,0,0,0,0,96,4.8,0,0,0,38.4
116000007,"AUT_001_MZB_LO_7","116000007_03.07.2018",2018,"7",3,0,0,5.6,0,0,1819.2,43.2,0,0,0,0,0,163.2,24,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,96,0,0,110.4,0,0,19.2,0,0,0,33.6,9.6,0,0,0,0,0,1.6,4.8,0,0,956.8,4.8,0,0,4.8,14.4,0,72,0,0,0,0,0,33.6,28.8,0,0,0,4.8,14.4
116000007,"AUT_001_MZB_LO_7","116000007_04.07.2019",2019,"7",4,0,0,0,0,0,187.2,9.6,0,0,0,9.6,0,945.6,14.4,0,0,0,0,0,0,9.6,0,0,0,0,11.2,0,6.4,0,4.8,0,0,0,0,0,4.8,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2612.8,0,0,19.2,0,0,0,129.6,4.8,0,0,4.8,24,14.4,16,0,0,0,0,9.6
