"site_id","sgn_id","sample_id","year","month","day","APHELOCHEIRUS SP.","ASELLUS SP.","ATHERIX SP.","BAETIS SP.","BLEPHARICERIDAE GEN. SP.","CAENIS SP.","CALOPTERYX SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","DUGESIA SP.","DYTISCIDAE GEN. SP. AD.","ECDYONURUS SP.","ELMIDAE GEN. SP. AD.","EPEORUS SP.","EPHEMERA SP.","EPHEMERELLA SP.","ERISTALIS SP.","ERPOBDELLIDAE GEN. SP.","GAMMARUS SP.","GLOSSIPHONIIDAE GEN. SP.","GOERIDAE GEN. SP.","GOMPHIDAE GEN. SP.","HABROPHLEBIA SP.","HAEMOPIS SANGUISUGA","HALIPLIDAE GEN. SP. AD.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PARALEPTOPHLEBIA SP.","PERLA SP.","PHILOPOTAMIDAE GEN. SP.","PHRYGANEIDAE GEN. SP.","PHYSIDAE GEN. SP.","PISIDIUM SP.","PLANORBIDAE GEN. SP.","PLATYCNEMIDIDAE GEN. SP.","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","RHITHROGENA SP.","RHYACOPHILA SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS SP.","SPHAERIUM SP.","TIPULIDAE GEN. SP."
106000001,"BGR_006_MZB_LO_4","106000001_28.07.2010",2010,"7",28,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,0,30,2,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106000001,"BGR_006_MZB_LO_4","106000001_14.07.2011",2011,"7",14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106000001,"BGR_006_MZB_LO_4","106000001_26.07.2012",2012,"7",26,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_07.08.2013",2013,"8",7,0,0,5,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,2,2,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_13.06.2014",2014,"6",13,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_18.06.2015",2015,"6",18,0,0,0,80,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_14.07.2016",2016,"7",14,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106000001,"BGR_006_MZB_LO_4","106000001_24.08.2017",2017,"8",24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_07.08.2018",2018,"8",7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_09.09.2019",2019,"9",9,0,0,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000002,"BGR_006_MZB_LO_5","106000002_25.08.2010",2010,"8",25,0,14,0,24,0,0,0,820,0,0,0,0,0,0,0,0,2,0,10,2,0,0,0,0,0,0,0,0,0,0,0,98,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
106000002,"BGR_006_MZB_LO_5","106000002_05.10.2011",2011,"10",5,0,15,0,48,0,0,0,570,0,0,0,0,0,0,0,0,67,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
106000002,"BGR_006_MZB_LO_5","106000002_23.08.2012",2012,"8",23,0,2,0,0,0,0,0,80,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000002,"BGR_006_MZB_LO_5","106000002_19.08.2013",2013,"8",19,0,16,0,2,0,0,0,662,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,226,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106000002,"BGR_006_MZB_LO_5","106000002_28.08.2014",2014,"8",28,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000002,"BGR_006_MZB_LO_5","106000002_27.08.2015",2015,"8",27,0,12,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
106000002,"BGR_006_MZB_LO_5","106000002_26.07.2017",2017,"7",26,0,1,0,22,0,0,0,123,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000002,"BGR_006_MZB_LO_5","106000002_24.07.2019",2019,"7",24,0,5,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
106000003,"BGR_006_MZB_LO_6","106000003_25.08.2010",2010,"8",25,2,0,0,248,0,0,0,50,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,35,0,0,51,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0
106000003,"BGR_006_MZB_LO_6","106000003_05.10.2011",2011,"10",5,1,0,0,81,0,0,0,98,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15,0,0,62,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
106000003,"BGR_006_MZB_LO_6","106000003_23.08.2012",2012,"8",23,1,2,0,48,0,0,0,84,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,6,0,0,23,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,1
106000003,"BGR_006_MZB_LO_6","106000003_19.08.2013",2013,"8",19,0,0,0,92,0,3,0,280,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,41,10,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
106000003,"BGR_006_MZB_LO_6","106000003_27.08.2015",2015,"8",27,36,0,0,130,0,1,1,10,0,26,0,7,30,0,0,2,0,0,0,0,0,1,0,0,0,48,0,0,0,0,6,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,17,0
106000003,"BGR_006_MZB_LO_6","106000003_26.07.2017",2017,"7",26,7,0,0,150,0,41,15,86,0,1,0,2,0,0,0,1,0,0,7,0,0,1,0,0,0,37,1,0,0,0,2,130,0,0,0,0,1,43,0,2,0,0,0,0,0,0,0,0,0,0,1
106000003,"BGR_006_MZB_LO_6","106000003_08.08.2018",2018,"8",8,5,0,0,27,0,3,0,3,0,0,0,11,3,0,0,0,0,0,10,0,0,0,0,0,0,28,0,0,0,0,0,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
106000003,"BGR_006_MZB_LO_6","106000003_24.07.2019",2019,"7",24,19,0,0,44,0,24,0,16,0,1,0,2,0,0,0,0,0,1,9,0,0,1,0,0,0,36,3,0,0,0,1,36,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0
106000004,"BGR_006_MZB_LO_7","106000004_05.08.2010",2010,"8",5,0,0,3,480,0,2,0,86,0,0,0,16,26,0,0,650,0,0,2,0,0,2,0,0,0,88,24,240,0,50,0,23,0,0,240,0,0,0,16,0,0,0,0,3,8,0,0,0,0,0,38
106000004,"BGR_006_MZB_LO_7","106000004_31.08.2011",2011,"8",31,0,0,5,73,0,2,0,55,0,0,0,9,15,0,0,568,0,0,0,0,0,3,0,0,0,59,14,227,0,0,0,22,0,0,0,0,0,0,11,0,0,0,0,1,4,0,0,0,0,0,21
106000004,"BGR_006_MZB_LO_7","106000004_15.08.2013",2013,"8",15,0,0,1,220,0,25,0,51,0,0,0,44,7,3,0,68,0,0,0,2,3,3,0,0,0,120,0,35,0,1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,4,3,0,10,0,0,1
106000004,"BGR_006_MZB_LO_7","106000004_17.07.2014",2014,"7",17,0,3,0,200,0,200,0,105,0,0,0,45,6,0,0,240,0,0,0,0,0,7,0,0,0,120,0,24,1,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,1,66,0,2
106000004,"BGR_006_MZB_LO_7","106000004_26.06.2015",2015,"6",26,0,0,6,210,0,50,0,81,0,0,0,9,4,0,0,110,0,0,0,0,2,0,0,0,0,49,0,85,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,40,89,2,0,2,320,0,1
106000004,"BGR_006_MZB_LO_7","106000004_17.07.2017",2017,"7",17,0,1,0,140,0,110,0,12,0,1,0,25,0,0,0,170,0,1,6,0,0,10,0,0,0,7,0,3,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0
106000004,"BGR_006_MZB_LO_7","106000004_21.06.2018",2018,"6",21,0,4,0,34,0,94,0,59,0,0,0,31,4,0,0,95,0,1,2,1,0,15,0,0,0,62,0,6,4,5,9,49,0,0,0,2,4,1,11,4,0,0,0,0,0,0,13,0,22,0,1
106000004,"BGR_006_MZB_LO_7","106000004_08.07.2019",2019,"7",8,0,0,0,250,3,66,0,104,0,0,0,9,1,0,1,142,0,0,2,0,0,1,0,0,0,66,0,9,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,45,0,0,36,35,0,18
106000005,"BGR_006_MZB_LO_8","106000005_05.08.2010",2010,"8",5,0,0,16,282,0,0,0,19,0,2,0,290,3,3,27,14,0,0,48,0,0,0,62,0,0,10,0,264,2,8,0,2,18,22,16,0,2,0,0,0,6,0,0,6,67,0,2,2,0,0,5
106000005,"BGR_006_MZB_LO_8","106000005_31.08.2011",2011,"8",31,0,0,9,39,0,0,0,0,0,2,0,158,3,1,14,10,0,0,0,0,0,0,26,0,0,8,0,165,0,5,0,0,13,16,8,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,2
106000005,"BGR_006_MZB_LO_8","106000005_28.06.2012",2012,"6",28,0,0,18,37,0,9,0,41,0,0,0,2,10,0,48,93,0,0,0,0,0,4,0,0,0,64,7,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
106000005,"BGR_006_MZB_LO_8","106000005_15.08.2013",2013,"8",15,0,0,9,190,0,1,0,40,0,0,0,63,3,3,9,2,0,0,2,0,0,1,0,0,0,3,0,11,1,0,0,0,0,7,0,0,0,0,0,0,2,0,3,0,17,2,0,3,0,0,2
106000005,"BGR_006_MZB_LO_8","106000005_17.07.2014",2014,"7",17,0,0,23,120,0,0,0,37,7,13,3,200,5,0,12,36,0,0,4,0,0,1,6,0,0,41,0,55,13,3,0,4,0,1,2,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,3
106000005,"BGR_006_MZB_LO_8","106000005_26.06.2015",2015,"6",26,0,0,37,300,0,0,0,66,0,16,0,110,10,0,5,150,0,0,1,0,0,0,1,0,0,55,0,61,0,3,0,18,0,3,3,0,0,0,0,0,22,0,0,13,49,2,0,0,0,0,0
106000005,"BGR_006_MZB_LO_8","106000005_23.07.2018",2018,"7",23,0,0,19,103,0,0,0,27,0,3,0,130,9,0,17,13,0,0,2,0,0,0,0,0,0,15,0,12,5,0,0,8,0,4,0,0,0,0,0,0,25,0,0,0,15,6,0,1,0,0,0
106000005,"BGR_006_MZB_LO_8","106000005_08.07.2019",2019,"7",8,0,0,4,50,0,0,0,6,0,3,0,101,5,3,4,20,0,0,1,0,1,0,1,0,0,39,0,12,1,2,0,3,0,0,0,0,0,0,0,0,31,1,0,0,29,0,0,1,0,0,0
