country,prov,origin,dataset.id,group,org.site,unique.id,river,latitude,longitude,st.yr,ed.yr,yr.ln,yr.num
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,9,157240,ENG_062_MZB_LO_3377,ASH (LEE),51.84844843,0.074778703,2011,2023,13,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,10,35948,ENG_062_MZB_LO_1089,SCOTSGROVE BROOK,51.75791588,-0.975104264,2003,2015,13,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,30,51578,ENG_062_MZB_LO_1873,DOVE (DOVE(UPPER)),53.13520405,-1.820860322,2002,2012,11,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,34,53508,ENG_062_MZB_LO_2073,TAME (UT - OLDBURY ARM),52.56480622,-1.994079868,2002,2014,13,8
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,49,67463,ENG_062_MZB_LO_2932,CHORLTON BK,53.44122731,-2.238541242,2002,2014,13,6
Hungary,Zoltan Csabai,"first call, data Ellen used",HUN_022_MZB_LO,1,101180109,HUN_022_MZB_LO_54,Tisza,46.18551547,20.10484453,2005,2017,13,12
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,9,IR1285,IRL_051_MZB_LO_1285,BALLINABOY,53.4628295,-10.0062869,2009,2023,15,5
Norway,Gaute Velle,"first call, data Ellen used",NOR_054_MZB_LO,1,St. 2 Innl. Gjærvollstadvatn ca 75 m,NOR_054_MZB_LO_43,Farsund,58.20983827,6.79702991,2003,2020,18,18
Norway,Gaute Velle,"first call, data Ellen used",NOR_054_MZB_LO,1,St. 3 Innl. Gjærvollstadvatn ca. 150 m,NOR_054_MZB_LO_44,Farsund,58.21049744,6.79669967,2003,2020,18,18
Norway,Gaute Velle,"first call, data Ellen used",NOR_054_MZB_LO,4,St. 4 utløp Saudlandsvatn,NOR_054_MZB_LO_45,Farsund,58.1994906,6.76873976,2003,2020,18,13
Norway,Gaute Velle,"first call, data Ellen used",NOR_054_MZB_LO,5,St. 6 innløp Saudlandsvatn v/ eplehage,NOR_054_MZB_LO_47,Farsund,58.20641722,6.75998163,2003,2020,18,18
Norway,Gaute Velle,"first call, data Ellen used",NOR_054_MZB_LO,5,St. 7 Innløp Saudlandsvatn v/ kanal,NOR_054_MZB_LO_48,Farsund,58.20634127,6.75923746,2003,2020,18,18
Norway,Gaute Velle,"first call, data Ellen used",NOR_054_MZB_LO,10,St. 7 Taksteinsbekken,NOR_054_MZB_LO_58,Vikedal,59.56608,6.02388,2003,2020,18,15
Norway,Gaute Velle,"first call, data Ellen used",NOR_054_MZB_LO,12,St. 6 Nausta ved Gamlestølen,NOR_054_MZB_LO_80,Nausta,61.57854361,5.94312742,2003,2019,17,9
Scotland,Cathy Bennett,"second data call, new data",SCO_061_MZB_LO,3,206904,SCO_061_MZB_LO_1568,Allt nan Ramh,58.2881129,-5.072397,2005,2014,10,5
Spain,Aitor Larrañaga,"first call, data Ellen used",ESP_034_MZB_LO,1,103000578,ESP_034_MZB_LO_138,Oria,43.0810712,-2.1527286,1993,2019,27,27
Spain,Aitor Larrañaga,"second data call, new data",ESP_034_MZB_LO,1,Gip49,ESP_034_MZB_LO_44,Oria,43.08181,-2.152854,2003,2017,15,15
Spain,Aitor Larrañaga,"first call, data Ellen used",ESP_034_MZB_LO,2,103000610,ESP_034_MZB_LO_170,Deba,43.0814872,-2.4474737,2002,2019,18,18
Spain,Aitor Larrañaga,"second data call, new data",ESP_034_MZB_LO,3,Gip14,ESP_034_MZB_LO_6,Urumea,43.29617,-1.727905,1996,2021,26,24
Spain,Aitor Larrañaga,"first call, data Ellen used",ESP_034_MZB_LO,4,103000610,ESP_034_MZB_LO_170,Deba,43.0814872,-2.4474737,2002,2019,18,18
Spain,Aitor Larrañaga,"second data call, new data",ESP_034_MZB_LO,4,BC137,ESP_034_MZB_LO_305,Deba,43.0814872,-2.4474737,2002,2021,20,20
Spain,Aitor Larrañaga,"second data call, new data",ESP_034_MZB_LO,6,Gip49,ESP_034_MZB_LO_44,Oria,43.08181,-2.152854,2003,2017,15,15
Spain,Aitor Larrañaga,"first call, data Ellen used",ESP_034_MZB_LO,6,103000578,ESP_034_MZB_LO_138,Oria,43.0810712,-2.1527286,1993,2019,27,27
Belgium,Marie Anne Eurie Forio,merge of Ellen's data and second data call,BEL_005_MZB_LO,12,BEVL_VMM_133900,BEL_005_MZB_LO_70,BOSBEEK,51.10361028,5.807662036,1991,2009,19,16
Belgium,Marie Anne Eurie Forio,merge of Ellen's data and second data call,BEL_005_MZB_LO,18,BEVL_VMM_277500,BEL_005_MZB_LO_117,KLEINE NETE,51.23680383,5.082887435,1994,2017,24,12
Belgium,Marie Anne Eurie Forio,merge of Ellen's data and second data call,BEL_005_MZB_LO,29,BEVL_VMM_310000,BEL_005_MZB_LO_147,ZWARTE NEET,51.26109217,5.093087965,1989,2017,29,13
Belgium,Marie Anne Eurie Forio,merge of Ellen's data and second data call,BEL_005_MZB_LO,33,BEVL_VMM_317000,BEL_005_MZB_LO_151,WIMP,51.11554938,4.798117294,1989,2021,33,18
England,John Francis Murphy,"first call, data Ellen used",ENG_041_MZB_LO,8,67595,ENG_041_MZB_LO_3571,Etherow (Woodhead Res. to Glossop Bk.),53.465304,-1.9805152,1997,2018,22,19
England,Judy England,"first call, data Ellen used",ENG_042_MZB_LO,1,81318,ENG_042_MZB_LO_16,MIMRAM,51.843319,-0.244648,2005,2017,13,13
England,Judy England,"first call, data Ellen used",ENG_042_MZB_LO,1,34171,ENG_042_MZB_LO_14,MIMRAM,51.847601,-0.248372,2002,2017,16,16
England,Judy England,"first call, data Ellen used",ENG_042_MZB_LO,3,33751,ENG_042_MZB_LO_22,VER,51.788822,-0.387395,2008,2017,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,8,1585,ENG_062_MZB_LO_283,EWDEN BECK,53.45671241,-1.562836287,2002,2018,17,14
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,11,74827,ENG_062_MZB_LO_3097,SCOUT DIKE,53.53599518,-1.639557587,2002,2019,18,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,12,1445,ENG_062_MZB_LO_262,SHIRE BROOK,53.35102134,-1.363859032,2004,2016,13,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,20,150447,ENG_062_MZB_LO_3307,ESHTON/ WINTERBURN/ HETTON/ FLASBY  BECKS,53.98848083,-2.089598614,2008,2018,11,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,36,1346,ENG_062_MZB_LO_229,RUSHYFORD BECK,54.64355393,-1.541319886,2002,2016,15,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,40,1608,ENG_062_MZB_LO_290,HOLME,53.55913063,-1.813207459,2002,2015,14,12
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,50,1591,ENG_062_MZB_LO_286,MIDGELDEN BROOK,53.70776816,-2.124021123,2002,2019,18,11
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,55,1631,ENG_062_MZB_LO_300,WOOLER WATER,55.56030895,-2.004072336,2003,2019,17,8
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,60,1702,ENG_062_MZB_LO_325,BOTHAL BROCKS BURN,55.17455711,-1.626547941,2002,2017,16,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,93,154079,ENG_062_MZB_LO_3335,TEES,54.69956799,-2.367793529,2011,2024,14,7
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,100,9406,ENG_062_MZB_LO_654,AXE (DEVON),50.74654216,-3.048678354,2002,2022,21,7
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,103,8350,ENG_062_MZB_LO_505,BRUE,51.10658399,-2.463894187,2003,2023,21,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,105,8494,ENG_062_MZB_LO_507,MOORS,50.83364229,-1.862200508,2003,2023,21,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,108,86036,ENG_062_MZB_LO_3206,SHREEN WATER,51.0837833,-2.267315527,2002,2024,23,14
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,120,9115,ENG_062_MZB_LO_586,HAMPSHIRE AVON (EASTERN),51.3322731,-1.781537489,2002,2013,12,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,133,154697,ENG_062_MZB_LO_3352,DART,50.45893938,-3.72106506,2010,2023,14,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,157,77976,ENG_062_MZB_LO_3142,RED RIVER,50.22941947,-5.301435521,2002,2012,11,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,170,33407,ENG_062_MZB_LO_845,MIMRAM,51.82996935,-0.215130978,2014,2023,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,170,178969,ENG_062_MZB_LO_3431,MIMRAM,51.82909891,-0.207560776,2009,2023,15,12
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,171,179285,ENG_062_MZB_LO_3442,MIMRAM,51.83663651,-0.232067587,2014,2023,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,173,178972,ENG_062_MZB_LO_3433,MIMRAM,51.81861025,-0.196717779,2014,2023,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,173,178970,ENG_062_MZB_LO_3432,MIMRAM,51.82638556,-0.207117015,2009,2024,16,13
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,173,33597,ENG_062_MZB_LO_858,MIMRAM,51.82008998,-0.198806194,2002,2023,22,12
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,174,33751,ENG_062_MZB_LO_867,VER,51.78882884,-0.387371112,2002,2023,22,19
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,177,34080,ENG_062_MZB_LO_910,SALMON BROOK,51.61901111,-0.042632315,2004,2014,11,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,178,33842,ENG_062_MZB_LO_875,CHESS,51.69381992,-0.597740668,2002,2018,17,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,183,178977,ENG_062_MZB_LO_3438,BEANE,51.85931189,-0.113806243,2014,2023,10,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,184,178975,ENG_062_MZB_LO_3436,BEANE,51.87126549,-0.128632086,2014,2023,10,7
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,183,178976,ENG_062_MZB_LO_3437,BEANE,51.86331949,-0.123181091,2014,2023,10,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,188,178965,ENG_062_MZB_LO_3430,MIMRAM,51.85175213,-0.261632929,2014,2023,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,193,34165,ENG_062_MZB_LO_927,CHESS,51.67832293,-0.530486789,2003,2021,19,7
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,194,81318,ENG_062_MZB_LO_3182,MIMRAM,51.8433258,-0.24462415,2002,2023,22,21
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,199,34307,ENG_062_MZB_LO_962,CHESS,51.68682055,-0.583201546,2003,2022,20,8
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,202,76077,ENG_062_MZB_LO_3116,BULBOURNE,51.77701215,-0.599091044,2003,2023,21,12
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,209,96882,ENG_062_MZB_LO_3244,LEACH,51.73809665,-1.709160408,2003,2012,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,212,36020,ENG_062_MZB_LO_1108,LODDON,51.29222445,-1.024157836,2004,2023,20,20
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,221,36041,ENG_062_MZB_LO_1113,LODDON,51.29176001,-1.025616115,2004,2023,20,20
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,214,36178,ENG_062_MZB_LO_1146,CRANLEIGH WATERS,51.1186668,-0.473281432,2002,2024,23,23
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,219,35528,ENG_062_MZB_LO_1043,WYE (THAMES,51.62657846,-0.743161883,2002,2014,13,13
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,225,35831,ENG_062_MZB_LO_1068,WEY (SOUTH),51.11808578,-0.855493753,2002,2023,22,11
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,230,35919,ENG_062_MZB_LO_1081,THAMES (SE AREA),51.41425878,-0.497987294,2002,2014,13,7
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,231,35935,ENG_062_MZB_LO_1084,SILCHESTER BROOK,51.34813474,-1.108563196,2002,2014,13,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,254,36221,ENG_062_MZB_LO_1153,CHURN,51.66547752,-1.892124731,2002,2014,13,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,256,42088,ENG_062_MZB_LO_1205,DOUR,51.14751809,1.267270217,2002,2019,18,13
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,265,43192,ENG_062_MZB_LO_1334,BOURNE RIVULET,51.23036063,-1.381660716,2004,2017,14,7
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,267,43746,ENG_062_MZB_LO_1393,DARENT,51.36806012,0.210107524,2002,2014,13,13
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,269,43312,ENG_062_MZB_LO_1353,ALRE,51.0934175,-1.173290298,2002,2024,23,17
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,265,42119,ENG_062_MZB_LO_1211,BOURNE RIVULET,51.23676119,-1.384726197,2003,2017,15,8
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,283,43197,ENG_062_MZB_LO_1335,LITTLE STOUR (SO),51.27852562,1.172957225,2002,2018,17,15
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,283,70602,ENG_062_MZB_LO_3074,LITTLE STOUR (SO),51.27272386,1.168312739,2002,2011,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,283,70603,ENG_062_MZB_LO_3075,LITTLE STOUR (SO),51.27551514,1.169867232,2002,2011,10,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,283,70621,ENG_062_MZB_LO_3076,LITTLE STOUR (SO),51.28064451,1.176416358,2002,2014,13,13
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,283,70641,ENG_062_MZB_LO_3077,LITTLE STOUR (SO),51.28393149,1.183226789,2002,2023,22,19
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,627,77548,ENG_062_MZB_LO_3133,LITTLE STOUR (SO),51.28413089,1.1907708,2002,2011,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,293,43484,ENG_062_MZB_LO_1364,CRAY,51.4433735,0.154840285,2005,2015,11,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,294,43546,ENG_062_MZB_LO_1370,GROM,51.11630578,0.178167322,2002,2018,17,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,296,43732,ENG_062_MZB_LO_1390,GREAT STOUR,51.2250468,0.726858586,2002,2011,10,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,304,43806,ENG_062_MZB_LO_1401,MEDWAY,51.10038702,0.012586119,2003,2014,12,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,305,43807,ENG_062_MZB_LO_1402,LEN,51.26322413,0.557667333,2003,2013,11,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,316,72561,ENG_062_MZB_LO_3080,PAGHAM RIFE,50.7863672,-0.748727893,2002,2011,10,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,320,50380,ENG_062_MZB_LO_1758,SCOTIA BROOK,53.04647058,-2.212652738,2002,2012,11,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,325,50054,ENG_062_MZB_LO_1738,AVON (LS - ABOVE SOWE),52.3896757,-1.28129806,2002,2018,17,7
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,328,52117,ENG_062_MZB_LO_1926,PERRY,52.76149257,-2.830826613,2005,2023,19,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,330,52098,ENG_062_MZB_LO_1922,RAINS BROOK,52.34074134,-1.194857665,2002,2015,14,7
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,331,53803,ENG_062_MZB_LO_2104,ASHOP,53.40199085,-1.788776965,2002,2024,23,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,338,47608,ENG_062_MZB_LO_1572,WOOD BROOK,52.78218675,-1.212691501,2003,2018,16,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,340,53800,ENG_062_MZB_LO_2103,BURNTWOOD BROOK,52.66731942,-1.879421554,2003,2018,16,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,365,53364,ENG_062_MZB_LO_2059,BOTTESFORD BECK,53.54338458,-0.677155503,2002,2012,11,8
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,369,52866,ENG_062_MZB_LO_2008,SOAR,52.52318178,-1.282911921,2002,2014,13,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,375,49185,ENG_062_MZB_LO_1691,ANKER,52.57688832,-1.52629141,2003,2014,12,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,376,49209,ENG_062_MZB_LO_1692,COUNTESTHORPE BROOK,52.56558996,-1.125278719,2002,2015,14,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,382,49901,ENG_062_MZB_LO_1727,MAUN,53.13284216,-1.224447301,2002,2014,13,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,382,51076,ENG_062_MZB_LO_1822,MAUN,53.12842333,-1.234779167,2002,2014,13,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,395,50612,ENG_062_MZB_LO_1779,TORNE,53.42487467,-1.092630248,2002,2015,14,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,399,50959,ENG_062_MZB_LO_1802,ALNE,52.21850513,-1.846399929,2002,2011,10,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,470,54684,ENG_062_MZB_LO_2189,MARDYKE EAST,51.54275277,0.337648147,2002,2015,14,5
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,489,150202,ENG_062_MZB_LO_3306,EYE BROOK,52.58342959,-0.771330342,2008,2024,17,12
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,496,55781,ENG_062_MZB_LO_2483,STONTON BROOK,52.52947629,-0.905951377,2013,2024,12,8
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,500,55841,ENG_062_MZB_LO_2506,WHAPLODE RIVER,52.87309038,0.002866359,2002,2016,15,7
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,503,55856,ENG_062_MZB_LO_2516,WILLOW BROOK (NORTH),52.50187785,-0.682055913,2002,2016,15,12
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,540,154139,ENG_062_MZB_LO_3341,HOWES BECK,54.55279752,-2.762007457,2009,2018,10,10
