"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGABUS UNDULATUS","AGAPETUS OCHRIPES","ALLOGAMUS AURICOLLIS","AMPULLACEANA BALTHICA","ANABOLIA NERVOSA","ANCYLUS FLUVIATILIS","ANOMALOPTERYGELLA CHAUVINIANA","ANTOCHA SP.","APHELOCHEIRUS AESTIVALIS","ASELLUS AQUATICUS","ATHERIX/IBISIA SP.","ATHRIPSODES ALBIFRONS","ATHRIPSODES BILINEATUS BILINEATUS","ATHRIPSODES CINEREUS","BAETIS SP.","CAENIS LUCTUOSA/MACRURA","CAENIS RIVULORUM","CALOPTERYX SPLENDENS","CENTROPTILUM LUTEOLUM","CERACLEA DISSIMILIS","CERATOPOGONINAE GEN. SP.","CHAETOPTERYX VILLOSA VILLOSA","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","CLINOCERINAE GEN. SP.","DICRANOTA SP.","DUGESIA SP.","ECDYONURUS VENOSUS-GR.","ECHINOGAMMARUS BERILLONI","ELMIS SP.","EPHEMERA DANICA","ERPOBDELLA OCTOCULATA","ESOLUS SP.","GAMMAROIDEA GEN. SP.","GAMMARUS PULEX","GLOSSIPHONIA COMPLANATA","GOERA PILOSA","GYRAULUS ALBUS","HALESUS DIGITATUS/TESSELATUS","HELOBDELLA STAGNALIS","HEMERODROMIA SP.","HYDRAENA GRACILIS","HYDROPSYCHE INCOGNITA","HYDROPSYCHE PELLUCIDULA","HYDROPSYCHE SILTALAI","HYDROPTILA SP.","LEPIDOSTOMA HIRTUM","LEUCTRA SP.","LIMNIUS PERRISI","LIMNIUS VOLCKMARI","MICRONECTINAE GEN. SP.","MYSTACIDES AZUREA","NEBRIOPORUS ELEGANS","OLIGOCHAETA GEN. SP.","ORECTOCHILUS VILLOSUS","OULIMNIUS TUBERCULATUS","PEDICIA SP.","PHYSELLA ACUTA","PISIDIUM SP.","PLECTROCNEMIA CONSPERSA CONSPERSA","POLYCENTROPUS FLAVOMACULATUS SSP.","POTAMOPHYLAX CINGULATUS/LATIPENNIS/LUCTUOSUS","POTAMOPYRGUS ANTIPODARUM","PROCLOEON SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","RHYACOPHILA DORSALIS/NUBILA","SERICOSTOMA FLAVICORNE/PERSONATUM","SERRATELLA IGNITA","SIALIS SP.","SIMULIUM SP.","SPHAERIUM CORNEUM","STAGNICOLA SP.","TIPULA SP."
"GER_017_MZB_LO_1","GER_017_MZB_LO_1-10.06.2009","10.06.2009",2009,6,10,0,0,19.2,0,1.6,5.6,0,4.8,0,0,9.6,72,0,28.8,153.6,9.6,0,0,0,0,9.6,1.6,4.8,396,0,57.6,0,16,0,91.2,0,15.2,140,0,10.4,4.8,0,0,0.8,0,4.8,4.8,19.2,0,44,0,53,92.8,0,48,0,9.6,0,25.6,0,24,0,0,0,0,9.6,0,0,0,0,39.2,44.8,20,417.6,0,163.2,0,0,0
"GER_017_MZB_LO_1","GER_017_MZB_LO_1-24.06.2010","24.06.2010",2010,6,24,0,7.2,0,12.8,0.8,0,0,0,0,0,2.4,72.8,0,28.8,32.8,50.4,2.4,0,0,0,7.2,2.4,0,168,0,2.4,0,11.2,0,28,0.8,5.6,26.4,0,21.6,0,0.8,0,0,0,0,0,2.4,0,12,0,5.6,20.8,0,19.2,0,0,0,0,0,12,0,0,0,0,7.2,0,0,0,0,12,10.4,22.4,296.8,0,17.6,0,0,0
"GER_017_MZB_LO_1","GER_017_MZB_LO_1-14.06.2011","14.06.2011",2011,6,14,0,0,0,0,0,0,8.8,0,0.8,0,0,48,0,40,102.4,173.6,4,0,0,0,0,0,4,578.8,0,24,0,88.8,0,20.8,0.8,4,40,0,4,0,0,0,0,0,0,0,14.6,0,11.8,0,4.8,62.4,0,4,0,0,1.6,1.6,0,20,0,0,0,0,0,0,0,0,0,0,24,17.6,297.6,0,12,0,0,0
"GER_017_MZB_LO_1","GER_017_MZB_LO_1-12.06.2012","12.06.2012",2012,6,12,0,0,16,8,28,0,8.8,0,0.8,0,12,60,0,32,24.800004,224.00003,0,0,0,0,4,0,12,356.8,0,12,0,43.2,0,16,4.8,4,99.44615,0,17.35385,4,0,0,0,0,0,0,27,0,9,0,32.8,97.6,0,12,8,0,0,0,0,14.4,4,0,12,0,8,0,0,0.8,0,4,12,32,229.6,0,4,0,0,4
"GER_017_MZB_LO_1","GER_017_MZB_LO_1-26.06.2013","26.06.2013",2013,6,26,0,0,0,0.8,34.4,0,0,0,8,0,0,33.5,51.2,33.5,33.6,211.2,0,0,0,4.8,9.6,0,24,578.4,0,0,0,55.2,0,0,21.6,34.4,9.6,0,107.2,0,0,0,0,0,0,0,34.4,0,5.6,0,26.4,213.6,0,19.2,0,0,0,19.2,0.8,4.8,0,0,9.6,0,68.8,4.8,0,0,0,14.4,4.8,14.4,572.8,0,0,0.8,0,0
"GER_017_MZB_LO_1","GER_017_MZB_LO_1-11.06.2015","11.06.2015",2015,6,11,0,4.8,0,14.4,5.6,57.6,0,0,10.4,0,0,24,14.4,4.8,397.6,92,0,0,0,0,0,0,24,332.8,0,9.6,0.8,3.2,0,91.2,9.6,4.8,225.6,0,86.4,0,0,14.4,0.8,0,0,0,24,0,19.2,0,9.6,72,0,57.6,0,0,0,0,0,4.8,0,0,0,0,9.6,0,0,0,0,19.2,4.8,9.6,405.6,0,139.2,0,0,0
"GER_017_MZB_LO_1","GER_017_MZB_LO_1-12.07.2016","12.07.2016",2016,7,12,0,15.2,0,0,0,14.4,0,0,24.8,4.8,0,9.6,4.8,0,129.6,62.4,0,0,0,0,0,0,0,491.2,0,0,0,57.6,0,62.4,0.8,0.8,393.6,0,283.2,0,0,0,0,0,0,0,62,0,0,0,10.4,212,0,72,0,0,0,0,0,0,0,0,4.8,0,9.6,0,0,0,0,0,24.8,0,540.8,0,225.6,0,0,0
"GER_017_MZB_LO_1","GER_017_MZB_LO_1-18.07.2017","18.07.2017",2017,7,18,0,62.4,0,0.8,0,0,0,38.4,55.2,0,0,9.6,0,0,90.4,28.8,0,0,0,0,0,0,145.6,456.8,0,19.2,0.8,28.8,0,124.8,0,0.8,466.4,0,292.8,0.8,0,0,0,10.4,0,0,68,31,0,0,0,84,0,38.4,0,0,0,5.6,0,96,0,0,0,0,46.4,0,0,0,0,11.2,11.2,14.4,106.4,0,499.2,0.8,0,0
"GER_017_MZB_LO_1","GER_017_MZB_LO_1-26.06.2018","26.06.2018",2018,6,26,0,0,0,5.6,0.8,67.2,4.8,57.6,88,0,14.4,0,4.8,0,209.6,72,0,0,0,0,0,0,24,865.6,0,0,9.6,31.2,0,76.8,20.8,1.6,523.2,0,217.6,4.8,0,9.6,0,0,0,0,117,33.6,5.6,4.8,0,43.2,0,28.8,0,33.6,0,24,0,19.2,0,0,0,0,4.8,0,9.6,0,0,28.8,41.6,0.8,204,0,505.6,0,0,0
"GER_017_MZB_LO_1","GER_017_MZB_LO_1-08.07.2019","08.07.2019",2019,7,8,0,0,0,3.428571429,3.428571429,3.428571429,0,0,21.37142857,0,0,0,0,0,32.457142858,30.9,0,0,3.428571429,0,3.4,0,6.857142857,452.57142852,0,13.71428571,3.428571429,37.5,0,6.857142857,1.6,0,78.85714286,0,113.1428571,0,0,6.857142857,0,0.8,0,0,62.4,11.1,0,0,0.8,28.22857143,0,20.57142857,0,24,0.8,11.085714286,0,6.857142858,0,0,0,0,3.428571429,0,0,0,0,6.857142857,22.1,1.6,58.05714286,10.28571429,176.4571429,3.4,0,3.428571429
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-11.07.2008","11.07.2008",2008,7,11,0,4.8,0,0,0,0,0,0,0,0,6,0,0,0,14.4,0,0,0,0,0,1.2,0,0,321.2,0,1.2,0,5.2,0,1.2,0,0,21.6,0,0.8,0,0,0,0,0,0,0,13.6,0,0,0,0,151.2,0,1.2,0,0,0,0,0.8,1.2,0,0,0,0,1.2,0,0,0,0,0,19.2,0,16.4,0,3.6,0,0,2.8
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-10.06.2009","10.06.2009",2009,6,10,0,4.8,0.8,5.6,0,10.4,0,0,0,0,0.8,76.8,0,4.8,58.4,9.6,0,0,0,0,14.4,0,0,1247.2,0,9.6,0,21.6,0,91.2,1.6,9.6,265.6,0,255.2,4.8,0,0,1.6,0,0,9.6,39.2,0,38.4,0.8,107.2,198.4,0,4.8,0,4.8,0,14.4,0,9.6,0,0,9.6,0,20,4.8,0,0,0,19.2,24,29.6,452.8,4.8,38.4,0.8,0,0
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-24.06.2010","24.06.2010",2010,6,24,0,5.6,20,9.6,4.8,0,9.6,4.8,0,9.6,44.8,62.4,0,4.8,89.6,4.8,0,0,0,0,4.8,14.4,0,620,0,24,0.8,16,0,51.2,0,40,82.4,0,44,0,0,0,0,4.8,0,0,5.2,0,34.4,0,5.6,48,0,14.4,0,0,0,0,0,24,0,0,0.8,0,16,0,0,0,0,0,24.8,6.4,335.2,0,312,0,0,0
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-14.06.2011","14.06.2011",2011,6,14,0,14.4,0,0,0,0,0.8,0,0,0,24.8,0,0,14.4,214.4,43.2,0,0,0,0,0,0,0,572.4,0,14.4,0,247.2,0.8,5.6,0,0,172.8,0,0,0,0,0,0,0,0,0,27,0,37,0,0.8,131.2,0,4.8,0,0,0,0,0,10.4,0,0,0,0,0,0.8,0,0,0,43.2,11.2,0,502.4,0,20,4.8,0,4.8
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-12.06.2012","12.06.2012",2012,6,12,0,0,0,9.6,0,24,0,0,0,4.8,0,62.4,0,9.6,96.8,322.285,0,0,0,0,0,0,4.8,1401.6,0,4.8,0,111.2,0,4.8,6.4,4.8,278.4,0,10.4,0,0,3.2,0,0,0,0,26.6,0,26.6,0,15.2,399.2,0,19.2,19.2,4.8,0,19.2,5.6,20,9.6,0,9.6,0,19.2,0,0,0,4.8,0,10.4,9.6,586.4,0,9.6,0,0,4.8
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-21.06.2013","21.06.2013",2013,6,21,0,0,0,11.2,0,10.4,0,0,0.8,4.8,1.6,48.3,0,24.1,48,384,0,0,0,0,9.6,0,14.4,265.6,0,0,0,50.4,0,0,10.4,29.6,48.8,0,32,0,0,0,0,0,0,0,24.8,0,0,0,16,40,0,4.8,0,0,0.8,4.8,0,0,0,0,0,0,25.6,0,4.8,9.6,0,9.6,14.4,4.8,408.8,0,24,0,0,19.2
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-11.06.2015","11.06.2015",2015,6,11,5.6,0,0,0,4.8,9.6,0,0,0,0,0,28.8,19.2,4.8,236,19.2,0,4.8,0,0,0,0,52.8,63.2,0,33.6,0,12.8,894.4,24,48,4.8,144,0,57.6,1.6,9.6,0,0,0,0,0,6.4,0,4.8,0,7.2,36,0,24,0,0,0,0,14.4,0,0,0,0,0,14.4,4.8,0,0,0,0,10.4,0.8,396,0,14.4,0,0,0
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-12.07.2016","12.07.2016",2016,7,12,0,115.2,0,0,4.8,0,0,0,0,4.8,20,14.4,0,0,153.6,24,0,15.2,0,0,0,0,0,297.6,0,4.8,0,48.8,1228.8,62.4,9.6,0,393.6,0,48,1.6,4.8,0,0,0,0,0,58,0,0,0,4.8,64,0,72,0,15.2,0,4.8,0,0,0,0,4.8,0,0,0,0,0,0,0,53.6,9.6,380,0.8,9.6,0,0,0
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-18.07.2017","18.07.2017",2017,7,18,0,39.2,0,58.4,0,5.6,0,33.6,16,10.4,0,0,0,0,18.4,24.8,0,12.8,0,0,0,0,53.6,557.6,4.8,0,0,16.8,855.2,62.4,15.2,11.2,193.6,0,14.4,4.8,0,9.6,0,0,0,0,65,38,0,0,0,62.4,0,28.8,0,9.6,0,0,0,24.8,0,0,0,0,5.6,0,0,0,0,0,12.8,0,36,0,24,0,9.6,0.8
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-26.06.2018","26.06.2018",2018,6,26,0,22.4,0,68,4.8,10.4,0,48.8,29.4,0,67.2,4.8,0,0,158.4,121,0,7.2,0,0,0,0,111.2,1084.8,4.8,0,0,7.2,927.2,38.4,4,0.8,484.8,38.4,4.8,4.8,0,0,0,0,0,0,154.4,14.8,9.6,4.8,0.8,16,0,38.4,0,7.2,0,0,0,19.2,0,0,4.8,0.8,0,0,0,0,0,14.4,41.6,0,138.2,4.8,72.8,0,4.8,0
"GER_017_MZB_LO_2","GER_017_MZB_LO_2-08.07.2019","08.07.2019",2019,7,8,0,2.4,0,9.6,0,9.6,4.8,14.4,24.8,0,19.2,0,0,0,48.8,32.6,0,0,4.8,0,0,0,0,700.8,0,0,0,23.2,604.8,0,10.4,9.6,67.2,9.6,9.6,0,0,0,0,9.6,0,0,68.8,0,0,0,0,28.8,4.8,24,0,9.6,1.6,1.6,0,0,0,4.8,4.8,0,4.8,0,0,0,0,9.6,20,4.8,74.4,14.4,4.8,5.6,0,4.8
